fecha_venta,nombre_plato,categoria_plato,cantidad_vendida,tipo_venta,precio_unitario,dia_semana,tipo_dia
2024-04-02,Lengua en salsa,Sopas,1,mesa,60000,Martes,entre_semana
2024-04-02,Lengua en salsa,Sopas,1,domicilio,60000,Martes,entre_semana
2024-04-02,Sancocho de Gallina,Sopas,3,mesa,60000,Martes,entre_semana
2024-04-02,Sancocho de Gallina,Sopas,3,domicilio,60000,Martes,entre_semana
2024-04-02,Frijoles con Pezuña,Sopas,3,mesa,50000,Martes,entre_semana
2024-04-02,Frijoles con Pezuña,Sopas,2,domicilio,50000,Martes,entre_semana
2024-04-02,Pata,Sopas,1,mesa,27000,Martes,entre_semana
2024-04-02,Pata,Sopas,1,domicilio,27000,Martes,entre_semana
2024-04-02,Cola de Buey,Sopas,3,mesa,60000,Martes,entre_semana
2024-04-02,Cola de Buey,Sopas,3,domicilio,60000,Martes,entre_semana
2024-04-02,Cazuela de Mariscos,Sopas,1,mesa,53000,Martes,entre_semana
2024-04-02,Cazuela de Mariscos,Sopas,1,domicilio,53000,Martes,entre_semana
2024-04-02,Carne Asada (Chatas),Carnes,7,mesa,56000,Martes,entre_semana
2024-04-02,Carne Asada (Chatas),Carnes,8,domicilio,56000,Martes,entre_semana
2024-04-02,Carne Oreada,Carnes,3,mesa,56000,Martes,entre_semana
2024-04-02,Carne Oreada,Carnes,3,domicilio,56000,Martes,entre_semana
2024-04-02,Cabro con Pepitoria,Carnes,8,mesa,56000,Martes,entre_semana
2024-04-02,Cabro con Pepitoria,Carnes,9,domicilio,56000,Martes,entre_semana
2024-04-02,Costillas de Cerdo,Carnes,6,mesa,54000,Martes,entre_semana
2024-04-02,Costillas de Cerdo,Carnes,5,domicilio,54000,Martes,entre_semana
2024-04-02,Lomo de Cerdo,Carnes,4,mesa,54000,Martes,entre_semana
2024-04-02,Lomo de Cerdo,Carnes,4,domicilio,54000,Martes,entre_semana
2024-04-02,Sobrebarriga,Carnes,9,mesa,54000,Martes,entre_semana
2024-04-02,Sobrebarriga,Carnes,9,domicilio,54000,Martes,entre_semana
2024-04-02,Pechuga Asada,Carnes,2,mesa,52000,Martes,entre_semana
2024-04-02,Pechuga Asada,Carnes,4,domicilio,52000,Martes,entre_semana
2024-04-02,Mojarra 2en1,Pescados,3,mesa,50000,Martes,entre_semana
2024-04-02,Mojarra 2en1,Pescados,3,domicilio,50000,Martes,entre_semana
2024-04-02,Trucha 2en1,Pescados,1,mesa,50000,Martes,entre_semana
2024-04-02,Trucha 2en1,Pescados,1,domicilio,50000,Martes,entre_semana
2024-04-02,Tierra Aire Mar,Pescados,1,domicilio,90000,Martes,entre_semana
2024-04-02,Arroz con Pollo,Arroces,8,mesa,45000,Martes,entre_semana
2024-04-02,Arroz con Pollo,Arroces,10,domicilio,45000,Martes,entre_semana
2024-04-02,Almuerzo Ejecutivo,Corrientes,43,mesa,25000,Martes,entre_semana
2024-04-02,Almuerzo Ejecutivo,Corrientes,46,domicilio,25000,Martes,entre_semana
2024-04-03,Lengua en salsa,Sopas,1,mesa,60000,Miércoles,entre_semana
2024-04-03,Lengua en salsa,Sopas,1,domicilio,60000,Miércoles,entre_semana
2024-04-03,Sancocho de Gallina,Sopas,3,mesa,60000,Miércoles,entre_semana
2024-04-03,Sancocho de Gallina,Sopas,3,domicilio,60000,Miércoles,entre_semana
2024-04-03,Frijoles con Pezuña,Sopas,3,mesa,50000,Miércoles,entre_semana
2024-04-03,Frijoles con Pezuña,Sopas,2,domicilio,50000,Miércoles,entre_semana
2024-04-03,Pata,Sopas,1,mesa,27000,Miércoles,entre_semana
2024-04-03,Pata,Sopas,1,domicilio,27000,Miércoles,entre_semana
2024-04-03,Cola de Buey,Sopas,2,mesa,60000,Miércoles,entre_semana
2024-04-03,Cola de Buey,Sopas,4,domicilio,60000,Miércoles,entre_semana
2024-04-03,Cazuela de Mariscos,Sopas,1,mesa,53000,Miércoles,entre_semana
2024-04-03,Cazuela de Mariscos,Sopas,1,domicilio,53000,Miércoles,entre_semana
2024-04-03,Carne Asada (Chatas),Carnes,9,mesa,56000,Miércoles,entre_semana
2024-04-03,Carne Asada (Chatas),Carnes,9,domicilio,56000,Miércoles,entre_semana
2024-04-03,Carne Oreada,Carnes,3,mesa,56000,Miércoles,entre_semana
2024-04-03,Carne Oreada,Carnes,3,domicilio,56000,Miércoles,entre_semana
2024-04-03,Cabro con Pepitoria,Carnes,8,mesa,56000,Miércoles,entre_semana
2024-04-03,Cabro con Pepitoria,Carnes,11,domicilio,56000,Miércoles,entre_semana
2024-04-03,Costillas de Cerdo,Carnes,5,mesa,54000,Miércoles,entre_semana
2024-04-03,Costillas de Cerdo,Carnes,6,domicilio,54000,Miércoles,entre_semana
2024-04-03,Lomo de Cerdo,Carnes,3,mesa,54000,Miércoles,entre_semana
2024-04-03,Lomo de Cerdo,Carnes,4,domicilio,54000,Miércoles,entre_semana
2024-04-03,Sobrebarriga,Carnes,9,mesa,54000,Miércoles,entre_semana
2024-04-03,Sobrebarriga,Carnes,10,domicilio,54000,Miércoles,entre_semana
2024-04-03,Pechuga Asada,Carnes,2,mesa,52000,Miércoles,entre_semana
2024-04-03,Pechuga Asada,Carnes,4,domicilio,52000,Miércoles,entre_semana
2024-04-03,Mojarra 2en1,Pescados,4,mesa,50000,Miércoles,entre_semana
2024-04-03,Mojarra 2en1,Pescados,4,domicilio,50000,Miércoles,entre_semana
2024-04-03,Trucha 2en1,Pescados,1,mesa,50000,Miércoles,entre_semana
2024-04-03,Trucha 2en1,Pescados,1,domicilio,50000,Miércoles,entre_semana
2024-04-03,Tierra Aire Mar,Pescados,1,domicilio,90000,Miércoles,entre_semana
2024-04-03,Arroz con Pollo,Arroces,7,mesa,45000,Miércoles,entre_semana
2024-04-03,Arroz con Pollo,Arroces,7,domicilio,45000,Miércoles,entre_semana
2024-04-03,Almuerzo Ejecutivo,Corrientes,40,mesa,25000,Miércoles,entre_semana
2024-04-03,Almuerzo Ejecutivo,Corrientes,53,domicilio,25000,Miércoles,entre_semana
2024-04-04,Lengua en salsa,Sopas,1,mesa,60000,Jueves,entre_semana
2024-04-04,Lengua en salsa,Sopas,1,domicilio,60000,Jueves,entre_semana
2024-04-04,Sancocho de Gallina,Sopas,3,mesa,60000,Jueves,entre_semana
2024-04-04,Sancocho de Gallina,Sopas,3,domicilio,60000,Jueves,entre_semana
2024-04-04,Frijoles con Pezuña,Sopas,3,mesa,50000,Jueves,entre_semana
2024-04-04,Frijoles con Pezuña,Sopas,2,domicilio,50000,Jueves,entre_semana
2024-04-04,Pata,Sopas,1,mesa,27000,Jueves,entre_semana
2024-04-04,Pata,Sopas,1,domicilio,27000,Jueves,entre_semana
2024-04-04,Cola de Buey,Sopas,3,mesa,60000,Jueves,entre_semana
2024-04-04,Cola de Buey,Sopas,4,domicilio,60000,Jueves,entre_semana
2024-04-04,Cazuela de Mariscos,Sopas,1,mesa,53000,Jueves,entre_semana
2024-04-04,Cazuela de Mariscos,Sopas,1,domicilio,53000,Jueves,entre_semana
2024-04-04,Carne Asada (Chatas),Carnes,9,mesa,56000,Jueves,entre_semana
2024-04-04,Carne Asada (Chatas),Carnes,8,domicilio,56000,Jueves,entre_semana
2024-04-04,Carne Oreada,Carnes,4,mesa,56000,Jueves,entre_semana
2024-04-04,Carne Oreada,Carnes,3,domicilio,56000,Jueves,entre_semana
2024-04-04,Cabro con Pepitoria,Carnes,8,mesa,56000,Jueves,entre_semana
2024-04-04,Cabro con Pepitoria,Carnes,7,domicilio,56000,Jueves,entre_semana
2024-04-04,Costillas de Cerdo,Carnes,4,mesa,54000,Jueves,entre_semana
2024-04-04,Costillas de Cerdo,Carnes,6,domicilio,54000,Jueves,entre_semana
2024-04-04,Lomo de Cerdo,Carnes,4,mesa,54000,Jueves,entre_semana
2024-04-04,Lomo de Cerdo,Carnes,4,domicilio,54000,Jueves,entre_semana
2024-04-04,Sobrebarriga,Carnes,8,mesa,54000,Jueves,entre_semana
2024-04-04,Sobrebarriga,Carnes,10,domicilio,54000,Jueves,entre_semana
2024-04-04,Pechuga Asada,Carnes,2,mesa,52000,Jueves,entre_semana
2024-04-04,Pechuga Asada,Carnes,4,domicilio,52000,Jueves,entre_semana
2024-04-04,Mojarra 2en1,Pescados,5,mesa,50000,Jueves,entre_semana
2024-04-04,Mojarra 2en1,Pescados,5,domicilio,50000,Jueves,entre_semana
2024-04-04,Trucha 2en1,Pescados,1,mesa,50000,Jueves,entre_semana
2024-04-04,Trucha 2en1,Pescados,1,domicilio,50000,Jueves,entre_semana
2024-04-04,Tierra Aire Mar,Pescados,1,domicilio,90000,Jueves,entre_semana
2024-04-04,Arroz con Pollo,Arroces,7,mesa,45000,Jueves,entre_semana
2024-04-04,Arroz con Pollo,Arroces,8,domicilio,45000,Jueves,entre_semana
2024-04-04,Almuerzo Ejecutivo,Corrientes,38,mesa,25000,Jueves,entre_semana
2024-04-04,Almuerzo Ejecutivo,Corrientes,44,domicilio,25000,Jueves,entre_semana
2024-04-05,Lengua en salsa,Sopas,1,mesa,60000,Viernes,entre_semana
2024-04-05,Lengua en salsa,Sopas,1,domicilio,60000,Viernes,entre_semana
2024-04-05,Sancocho de Gallina,Sopas,3,mesa,60000,Viernes,entre_semana
2024-04-05,Sancocho de Gallina,Sopas,3,domicilio,60000,Viernes,entre_semana
2024-04-05,Frijoles con Pezuña,Sopas,3,mesa,50000,Viernes,entre_semana
2024-04-05,Frijoles con Pezuña,Sopas,2,domicilio,50000,Viernes,entre_semana
2024-04-05,Pata,Sopas,1,mesa,27000,Viernes,entre_semana
2024-04-05,Pata,Sopas,1,domicilio,27000,Viernes,entre_semana
2024-04-05,Cola de Buey,Sopas,3,mesa,60000,Viernes,entre_semana
2024-04-05,Cola de Buey,Sopas,4,domicilio,60000,Viernes,entre_semana
2024-04-05,Cazuela de Mariscos,Sopas,1,mesa,53000,Viernes,entre_semana
2024-04-05,Cazuela de Mariscos,Sopas,1,domicilio,53000,Viernes,entre_semana
2024-04-05,Carne Asada (Chatas),Carnes,10,mesa,56000,Viernes,entre_semana
2024-04-05,Carne Asada (Chatas),Carnes,9,domicilio,56000,Viernes,entre_semana
